Seq,Inning,Half,Timestamp,Team,Batting Order,Batter,Pitcher,Description,Result,RBI,Runs,Outs,Score Us,Score Them,Putout,Assist
1,1,top,2026-04-18T10:04:12-04:00,Riverside Rays,1,Jake Smith,A. Jones,Jake Smith doubles to left field,double,0,0,0,0,0,,
2,1,top,2026-04-18T10:06:03-04:00,Riverside Rays,2,Marcus Hernandez,A. Jones,Marcus Hernandez singles to right; Smith scores,single,1,1,0,1,0,,
3,1,top,2026-04-18T10:08:41-04:00,Riverside Rays,3,Owen Brooks,A. Jones,Owen Brooks strikes out swinging,strikeout,0,0,0,1,0,,
4,1,bottom,2026-04-18T10:15:22-04:00,Northside Owls,,B. Carter,Liam Nguyen,B. Carter grounds out to Jake Smith,groundout,0,0,0,1,0,Jake Smith,
5,1,bottom,2026-04-18T10:17:09-04:00,Northside Owls,,D. Hollis,Liam Nguyen,D. Hollis strikes out looking,strikeout,0,0,1,1,0,Daniel Okafor,
6,2,top,2026-04-18T10:24:35-04:00,Riverside Rays,4,Daniel Okafor,A. Jones,Daniel Okafor walks,walk,0,0,0,1,0,,
7,2,top,2026-04-18T10:26:50-04:00,Riverside Rays,5,Liam Nguyen,A. Jones,Liam Nguyen hits a home run to center field; Okafor scores,home_run,2,2,0,3,0,,
8,3,bottom,2026-04-18T10:47:18-04:00,Northside Owls,,R. Castellanos,Liam Nguyen,R. Castellanos lines out to Sofia Alvarez,lineout,0,0,1,3,1,Sofia Alvarez,
9,4,top,2026-04-18T11:02:44-04:00,Riverside Rays,9,Théo Moreau,C. Pike,Théo Moreau steals second base,stolen_base,0,0,1,3,1,,
10,6,top,2026-04-18T11:38:12-04:00,Riverside Rays,1,Jake Smith,C. Pike,Jake Smith triples to right center; Moreau scores,triple,1,1,1,4,4,,
11,6,bottom,2026-04-18T11:46:57-04:00,Northside Owls,,B. Carter,Jake Smith,B. Carter grounds into a 6-4-3 double play,double_play,0,0,0,4,4,Marcus Hernandez,Jake Smith
12,7,bottom,2026-04-18T11:58:30-04:00,Northside Owls,,D. Hollis,Jake Smith,D. Hollis strikes out swinging to end the game,strikeout,0,0,2,5,4,Daniel Okafor,
